City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Waterloo,IA,15.7,15.87,31,49.47,57.9,70.2,76.7,70.43,69.5,47.43,32.7,30.1
Ames,IA,18.7,14.73,31.07,50.29,57.65,69.77,74.72,69.7,68.83,47.25,32.31,29.68
Iowa City,IA,19.13,18.97,33.6,50,58.62,70.78,78.35,71.95,70.08,49.02,34.43,32.6
Dubuque,IA,16.32,16.98,30.64,47.1,56.18,67.49,75.16,68.86,65.96,47.31,30.32,29.94
Cedar Rapids,IA,17.68,18.37,32.48,50.43,58.23,68.95,76.3,70.15,68.97,47.52,32.47,30.97
Lewiston,ID,36.9,30.1,38.27,53.1,62.7,68.07,74.5,76.87,65.3,47.63,39.23,38.67
Idaho Falls,ID,21.92,24.92,34.49,47.02,52.27,60.59,69.58,69.04,58.71,37.21,33.68,23.77
Pocatello,ID,25.75,26.49,35.65,47.21,51.99,60.64,67.48,68.61,58.59,38.4,36.01,27.73
Twin Falls,ID,31,29.38,39.37,49.47,55.05,64.15,72.16,72.53,61.15,41.92,39.13,30.1
Coeur d'Alene,ID,32.63,22.87,35.17,46.7,57.1,63.37,68.9,69.77,60.3,42.87,39.03,34.83
Chicago,IL,22.01,25.56,34.11,49.42,57.83,67.96,76.95,72.57,69.31,51.73,34.5,33.86
Carbondale,IL,33.09,38.97,42.36,57.14,67.34,72.94,78.51,76.06,75.14,56.92,39.77,39.82
Champaign,IL,23.55,29.43,36.46,52.24,62.77,70.97,76.13,71.98,71.23,53.67,35.55,33.66
Bloomington,IL,22.43,25.8,35.2,50.77,61.87,70.6,77,71.37,70.17,52.9,34.93,34.4
Springfield,IL,25.43,30.53,38.27,54.03,64.3,72.13,78.2,73.37,73.2,53.33,37.27,35.77
Danville,IL,25.58,30.9,36.68,52.35,63.45,70.68,76.62,72.37,71.38,54.73,36.07,35.42
Peoria,IL,22.63,27,37.6,52.67,62.3,71.67,78.33,73.47,72.27,52.03,36.6,35
Kankakee,IL,20.18,28.55,34.87,50.68,60.23,69.3,76.27,71.42,69.4,53.78,34.63,33.93
Decatur,IL,24.88,30.55,37.35,53.48,63.73,71.7,77.58,73.4,72.38,53.72,36.85,34.95
Rockford,IL,18.2,22.17,33.8,49.3,58.2,69.3,77.5,71.47,68.5,49.9,33.4,32.7
South Bend,IN,22.36,27.49,34,48.38,58.03,67.66,74.59,69.96,68.42,52.54,35.22,34.67
Evansville,IN,33.54,40.14,43.27,58.89,69.2,74.25,79.07,77.64,76.8,59.89,40.96,42.23
Indianapolis,IN,27.01,32.25,36.92,52.46,63.01,70.08,77.18,72.86,71.8,55.73,36.62,35.66
Lafayette,IN,23.92,29.5,35.09,50.64,61.64,69.79,76.17,71.7,69.79,54.37,35.46,34.36
Michigan City,IN,22.67,27.05,34.03,48.78,57.75,66.48,75.38,70.9,69.25,52.23,35.22,34.9
Fort Wayne,IN,25.5,30.73,36.17,50.5,61.63,70.6,77.03,71.1,68.7,53.7,36.07,34.2
Bloomington,IN,29.3,34.8,38.72,54.76,64.84,70.89,76.74,73.91,72.77,56.74,37.83,38.55
Muncie,IN,25.77,30.95,35.88,51.15,62.06,69.99,76.68,71.74,70.38,56.14,36.68,35.18
Kokomo,IN,22.72,27.6,33.98,48.82,59.9,68.97,75.85,70.12,68.57,53.92,34.63,33.93
Terre Haute,IN,28.27,36.71,40.63,54.53,64.9,71.87,77.57,73.83,72.5,55.5,37.55,37.03
Manhattan,KS,28.91,25.96,38.51,56.29,61.71,72.95,78.47,76.15,75.63,51.58,39.73,35.78
Lawrence,KS,28.87,28.38,39.16,56.03,62.02,73.46,78.39,75.88,73.43,51.46,39.91,36.19
Topeka,KS,29.38,28.63,40.92,57.61,63.51,74.42,78.83,76.59,76.01,51.9,41.4,37.46
Wichita,KS,32.79,32.07,42.77,57.24,63.8,74.83,80.08,78.51,77.56,53.59,42.7,38.46
Elizabethtown,KY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lexington,KY,33.25,41.9,42.27,58.2,68.12,71.62,77.62,76.38,76.08,60.27,41.22,42.67
Owensboro,KY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bowling Green,KY,37.47,45.37,45.77,60.1,71.07,74.97,79.7,79,78.23,61.23,43.23,45.3
Houma,LA,53.27,63.73,61.53,67.57,79.1,84.33,83.7,84.1,82.83,74.1,57.37,57.67
New Orleans,LA,53.69,63.58,62.22,68.83,78.91,83.8,83.77,84.89,84.85,74.75,58.73,58.21
Shreveport,LA,47.24,52.55,55.69,64.45,75.42,79.16,82.49,85.47,83.35,67.31,54.17,52.35
Baton Rouge,LA,50.87,61.42,60.2,67.47,77.8,81.63,82.73,84.23,82.97,71.2,57.07,56.57
Lake Charles,LA,51.7,59.95,60.65,67.42,77.18,81.45,82.73,84.55,82.45,70.62,58.25,56.37
Lafayette,LA,51.76,61.23,60.73,67.41,77.33,81.07,81.55,82.73,81.99,70.92,57.24,56.76
Alexandria,LA,49.29,56.31,57.8,64.98,75.78,79.53,81.2,83.71,81.81,67.73,54.34,53.34
Hammond,LA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Monroe,LA,47.57,53.53,56,64.2,75.6,79.9,82.47,84.43,83.6,66.57,53.13,52
Boston,MA,27.82,30.02,35.04,49.07,55.52,66.31,75.21,71.25,63.61,53.55,38.74,32.25
Worcester,MA,24.38,26.83,32.93,47.13,54.62,65.48,73.78,69.55,61.85,51.2,36.1,29.42
Springfield,MA,24.87,28.12,34.01,48.51,57.03,67.3,75.81,71.01,63.36,52.6,37.3,29.79
Leominster,MA,22.82,25.19,31.28,46.55,53.83,64.95,72.75,68.53,60.21,50.42,34.98,27.63
Pittsfield,MA,21.43,25.35,31.22,45.9,55.23,64.12,71.7,67.72,59.85,50.48,34.07,27.55
New Bedford,MA,29.1,31.43,36.12,49.41,56.34,66.89,74.78,71.35,63.12,54.05,40.57,34.1
Barnstable Town,MA,30.91,32.07,35.45,47.92,53.7,64.81,73.4,70.98,63.1,54.39,42.35,35.72
Hagerstown,MD,31.21,34.91,39.96,58.5,66.88,71.38,79.61,75.53,71.82,58.28,41.42,36.9
Cumberland,MD,28.57,32.7,37.22,52.82,64.12,67.37,74.35,71.13,68.23,55.47,38.48,34.68
Salisbury,MD,38.78,42.93,44.83,60.96,69.96,75.38,80.5,77.49,72.99,63.84,46.23,44.3
Baltimore,MD,33.7,36.58,42.47,58.39,67.42,74.07,80.23,77.02,72.82,60.9,43.29,38.85
Lewiston,ME,18.52,20.89,28.27,41.95,50.9,61.99,71.27,67.64,58.74,48.78,32.56,26.06
Portland,ME,24,26.47,32.45,43.92,52.18,61.82,71.45,69.03,61.07,51.83,35.77,30.9
Bangor,ME,17.95,19.85,27.62,41.85,49.98,61.23,70.37,66.2,57.4,48.42,32.1,25.65
Detroit,MI,23.38,26.71,32.72,47.46,57,66.94,75.15,71.46,67.56,52.79,34.8,33.86
Kalamazoo,MI,22.1,26.93,33.4,49.13,58.35,68.08,78.8,70.65,67.9,52.33,35.67,34.37
Lansing,MI,21.12,24.85,31.98,46.9,56.28,66.23,74.82,69.75,65.85,50.63,33.35,31.33
Ann Arbor,MI,22.81,25.99,32.23,47.6,57.05,66.23,74.68,70.11,66.23,52.1,33.79,33.08
Grand Rapids,MI,21.23,24.5,31.4,46.56,55.78,66,74.52,69.39,65.44,49.69,33.96,32.69
Jackson,MI,22,27,32.87,47.67,57.33,65.9,74.57,69.37,66.33,51.2,33.4,33.3
Midland,MI,19.43,22.62,29.79,46.44,54.35,64.4,72.83,67.91,63.93,49.48,32.36,32.23
Muskegon,MI,22.28,24.87,32.04,46.79,53.82,64.18,73.11,68.84,65.11,49.68,35.22,33.19
Flint,MI,20.98,23.88,30.73,45.4,55.17,64.91,73.95,69.25,65.35,50.44,33.19,32.73
Saginaw,MI,20.37,22.89,30.5,45.38,54.33,65.47,74.57,69.8,65.19,50.23,32.92,32.34
Minneapolis,MN,13.43,11.86,27.81,45.37,54.56,68.34,73.98,69.31,64.9,45.27,30.06,22.23
Duluth,MN,7.66,10.42,24.72,39.17,47.54,59.14,69.73,65.5,57.76,43.89,26.09,17.98
Mankato,MN,11.9,6.4,24.43,44.6,53.53,66.57,71.4,67.53,63.9,44.9,28.33,18.03
Rochester,MN,12.23,11.47,26,44.87,53.9,66.23,72.17,66.7,65.1,43.9,28.13,21.63
St. Cloud,MN,7.91,6.59,23.28,41.82,50.86,65.75,71.25,66.51,61.59,43.48,27.59,17.97
Kansas City,MO,29.92,29.01,40.44,56.79,62.95,73.89,78.2,76.21,75.59,52.5,40.33,37.54
St. Louis,MO,30.82,34.02,41.74,57.28,67.16,73.86,80.13,77.09,76.37,56.32,40.54,39.2
St. Joseph,MO,26.11,23.56,36.83,55.01,61.64,72.89,77.64,74.2,73.4,50.87,38.32,35.32
Cape Girardeau,MO,34.33,39.81,43.43,58.28,68.58,74.39,79.37,77.92,77.08,58.02,40.99,41.84
Columbia,MO,30.22,32.08,41.82,58.07,65.65,73.65,78.77,76.3,75.88,53.57,41.5,38.95
Jefferson City,MO,30.68,33.07,41.53,57.72,65.27,73,79.27,77.07,76.8,55.17,41.75,39.52
Springfield,MO,33.97,37.16,42.86,58.17,65.97,72.79,77.54,77.01,77.59,54.87,45.04,42.29
Joplin,MO,34.6,37.12,43.33,58.07,65.85,72.75,77.42,77.25,77.28,55.2,43.18,41.47
Gulfport,MS,51,60.14,57.94,65.22,76.21,80.93,81.76,82.12,81.76,71.88,55.7,55.67
Hattiesburg,MS,48.68,60.13,58.1,65.43,75.43,80.42,81.57,82.08,81.95,69.65,53.65,54.15
Jackson,MS,47.2,57.1,56,64.6,75.42,79.4,82.15,82.78,82.92,67.77,52.45,51.95
Billings,MT,27.57,8.43,28.29,46.59,50.91,64.03,70.84,71.61,60.71,39.56,34.36,32.05
Great Falls,MT,30.37,1.17,25.38,44.54,50.52,60.96,67.4,67.64,56.84,37.12,31.67,32.23
Missoula,MT,26.03,16.92,28.78,42.56,51.94,58.21,64.97,65.98,55.26,36.04,31.17,28.4
Charlotte,NC,43.59,49.41,50.38,62.6,73.78,76.13,81.25,79.1,78.28,66.76,48.36,47.15
Durham,NC,41.62,46.39,48.43,60.82,72.45,74.71,80.37,77.61,75.99,64.57,46.58,45.99
Greensboro,NC,41.09,47.31,48.81,62.07,72.83,74.71,82.11,77.81,76.57,64.43,46.43,45.22
Hickory,NC,41.17,47,47.91,60.6,71.34,73.82,78.38,76.62,76.43,64.54,46.72,45.62
Asheville,NC,37.71,45.68,45.57,57.6,67.41,69.71,73.98,72.43,71.66,60.13,44.61,43.03
Raleigh,NC,42.09,46.64,48.08,60.8,72.75,75.02,80.31,77.99,75.94,64.83,47.08,46.31
Wilmington,NC,46.69,53.31,53.57,64.32,75.12,77.67,81.61,80.54,77.21,69.49,52.55,52.35
Burlington,NC,41.58,46.52,47.86,61.06,72.72,75.01,80.2,77.9,76.51,65.23,46.64,45.78
New Bern,NC,46.16,52.47,52.76,64.84,74.94,77.03,81.67,79.76,76.83,67.93,51.37,50.74
Greenville,NC,43.9,50.5,51,64.5,75.8,77.03,82.1,79.53,77.1,67,49.53,49.2
Jacksonville,NC,44.59,52.47,52.11,63.88,74.55,77.24,81.44,79.73,76.88,67.88,50.43,50.77
Fayetteville,NC,45.12,50.06,52.03,64.56,76.32,78.44,82.96,80.34,78.16,68.34,49.66,48.63
Rocky Mount,NC,42.52,47.18,48.98,62.69,74.35,76.17,81.64,78.55,75.83,65.9,47.99,47.41
Fargo,ND,5.83,0.38,19.84,42.44,52.14,66.68,71.73,66.37,60.74,41.79,28.12,16.02
Grand Forks,ND,3.32,-1.4,18.63,41.25,51.85,66.07,70.88,66.68,59.35,39.87,25.42,10.62
Bismarck,ND,12.67,-0.79,22.1,43.29,50.64,64.78,70.85,66.35,59.53,38.48,28.37,17.49
Omaha,NE,23.32,16.02,33.87,52.47,59.09,71.71,76.86,73.41,71.3,48.87,35.74,30.93
Lincoln,NE,24.87,18.38,34.47,53.66,59.61,71.98,76.99,73.9,72.86,48.51,37.47,32.52
Grand Island,NE,27.07,18.2,34.17,52.17,58.3,71.83,77.4,72.57,72.2,46.97,38.03,32.37
Portsmouth,NH,23.47,25.87,31.78,46.04,53.5,63.35,72.52,68.51,60.48,50.99,35.6,28.38
Manchester,NH,24.01,26.33,32.51,47.52,55.2,65.69,74.11,69.87,61.77,51.16,36.04,28.26
Vineland,NJ,33.92,36.22,40.68,56.76,64.92,72.52,78.79,75.8,70.43,59.59,42.5,38.22
Trenton,NJ,31.05,34.11,39.05,55.11,62.53,70.36,77.79,74.29,68.32,57.1,40.22,35.29
