City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Grants Pass,OR,40.74,35.72,44.18,52.42,57.37,65.33,69.43,71.97,62.02,49.99,45.76,39.87
Allentown,PA,29.32,32.35,38.15,54.63,62.47,68.97,76.6,73.45,67.6,56.43,39.55,34.52
Philadelphia,PA,32.07,34.56,40.08,56.56,64.31,71.41,78.84,75.51,69.99,58.68,42.01,37.14
Bloomsburg,PA,26.1,31.3,35.93,52,62.2,67,74.4,70.2,65.23,54.27,37.63,NaN
Chambersburg,PA,28.7,32.3,37.33,53.82,64.1,69.74,75.34,73.23,68.9,56.2,38.94,34.42
Harrisburg,PA,30.1,32.93,39.14,55.41,65.08,70.75,78.57,75.13,69.83,57.88,40.41,35.39
Scranton,PA,26.27,30.9,36.5,52.93,61.8,67.57,75.97,72,66.53,56.1,38.57,33.47
York,PA,30.97,34.65,39.77,56.85,65.52,71.78,77.88,74.78,70.22,58.87,40.62,36.55
Lancaster,PA,30.3,32.86,38.57,55.42,64.27,70.55,77.77,74.41,69.23,57.7,40.07,35.8
State College,PA,26.8,29.6,35.2,50.6,62.13,67.1,74.47,70.7,65.77,53.93,37.27,33.1
Lebanon,PA,28.25,31.27,36.48,53.17,63.63,68.95,75.7,72.62,67.23,55.8,38.65,35.05
Reading,PA,29.59,32.18,37.67,54.88,63.4,69.59,77.48,74.01,67.89,56.5,39.99,35.07
Altoona,PA,24.84,30.45,35.12,50.93,62.36,66.67,72.93,69.66,65.8,53.65,37.01,32.18
Pittsburgh,PA,29.4,33.5,37.17,53.56,64.3,68.86,75.74,72.66,69.42,56.73,38.74,36.17
Erie,PA,26.87,30.8,33.63,48.1,58.2,66.8,75.43,71.97,68.87,56.97,38.9,36.83
Williamsport,PA,27.12,31.27,37.37,52.82,62.9,68.33,76.18,72.32,66.93,55.15,37.97,33.5
Johnstown,PA,23.7,29.53,32.77,48.83,59.87,64.03,70.67,67.63,63.75,52.32,35.17,32.02
Providence,RI,28.37,30.93,36,50.73,57.27,68.03,76.19,72.42,64.83,54.12,39.56,33.26
Myrtle Beach,SC,47.32,56.33,54.67,63.83,74.8,80.12,80.8,79.53,76.92,70.67,52.38,53.53
Charleston,SC,51.62,58.18,58.4,66.72,78.19,80.24,82.67,81.82,79.37,72.02,55.21,54.97
Columbia,SC,46.97,52.86,54.88,64.98,76.76,77.97,82.59,81.88,80.37,69.62,50.76,51.19
Greenville,SC,43.72,50.13,51.48,62.57,73.92,75.67,80.32,78.67,78.7,66.85,49.41,47.98
Hilton Head Island,SC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Spartanburg,SC,42.88,48.87,49.9,61.55,72.02,74.95,79.43,77.78,76.7,65.53,48.25,46.15
Florence,SC,46.75,52.52,53.47,64.27,76.37,79.22,82.68,81.15,78.52,69.7,50.67,50.92
Sumter,SC,46.12,51.2,52.9,63.33,74.85,76.48,80.77,79.85,77.2,NaN,49.45,49.25
Sioux Falls,SD,15.47,9.51,28.41,46.12,54.53,69.98,74.26,69.36,66.43,43.9,31.36,23.16
Rapid City,SD,27.41,10.43,28.27,42.89,45.56,61.75,68.85,66.61,61.1,38.66,32.76,31.17
Kingsport,TN,38.77,46.05,46.2,59.72,69.87,71.83,76.65,75.28,75.22,61.88,43.92,44.02
Chattanooga,TN,41.09,48.51,49.1,62.12,72.05,74.39,78.8,78.36,79.56,64.21,47.62,46.61
Memphis,TN,41.05,47.73,49.44,61.41,73.06,76.74,80.6,80.95,81.48,63.18,45.95,46.38
Clarksville,TN,37.98,45.78,45.93,59.9,70.17,74.44,79.04,77.84,77.56,61.03,43.53,44.37
Nashville,TN,38.9,45.97,46.72,59.51,70.26,74.67,78.91,78.11,77.53,61.97,43.64,45.55
Knoxville,TN,40.37,46.5,48,60.48,71.2,73.32,78,77.95,77.17,63.7,45.23,46.37
Jackson,TN,39.39,45.78,46.79,59.47,70.92,75.2,79.5,78.74,78.16,60.97,44.3,45.42
Johnson City,TN,38.17,45.19,45.17,58.07,69.16,70.93,75.91,74.58,74.48,61.73,43.38,43.88
Morristown,TN,38.86,46.57,47.38,60.18,71.48,72.82,77.81,77.4,77.38,63.23,44.85,45.62
Texarkana,TX,43.66,49.12,53.21,62.92,73.03,77.64,80.83,84.21,82.79,63.93,49.89,48.29
Austin,TX,49.36,55.47,58.87,67.9,76.03,81.43,84.72,88.11,85.93,69.83,56.5,53.67
Beaumont,TX,52.12,59.52,61.7,67.61,77.85,81.62,83.21,84.58,82.53,71.59,58.01,56.83
Brownsville,TX,61.87,67.15,68.5,75.25,83.45,86.22,86.25,88.25,84.28,76.95,67.25,64.6
