msa_city,msa_state,msa,Personal_Income_2018,Personal_Income_2019
Dover,DE,"Dover, DE",42023,43580
Dubuque,IA,"Dubuque, IA",49085,51224
Duluth,MN-WI,"Duluth, MN-WI",46250,48311
Durham-Chapel Hill,NC,"Durham-Chapel Hill, NC",54036,56667
East Stroudsburg,PA,"East Stroudsburg, PA",42722,44432
Eau Claire,WI,"Eau Claire, WI",47450,49758
El Centro,CA,"El Centro, CA",36974,37786
Elizabethtown-Fort Knox,KY,"Elizabethtown-Fort Knox, KY",42144,43408
Elkhart-Goshen,IN,"Elkhart-Goshen, IN",46816,49467
Elmira,NY,"Elmira, NY",44373,46380
El Paso,TX,"El Paso, TX",35836,37167
Enid,OK,"Enid, OK",44465,44967
Erie,PA,"Erie, PA",44903,46909
Eugene-Springfield,OR,"Eugene-Springfield, OR",45919,47869
Evansville,IN-KY,"Evansville, IN-KY",47313,49201
Fairbanks,AK,"Fairbanks, AK",56606,58614
Fargo,ND-MN,"Fargo, ND-MN",52712,53727
Farmington,NM,"Farmington, NM",35453,36714
Fayetteville,NC,"Fayetteville, NC",36903,38304
Fayetteville-Springdale-Rogers,AR,"Fayetteville-Springdale-Rogers, AR",65306,67910
Flagstaff,AZ,"Flagstaff, AZ",48129,50181
Flint,MI,"Flint, MI",41068,42473
Florence,SC,"Florence, SC",40413,41980
Florence-Muscle Shoals,AL,"Florence-Muscle Shoals, AL",37608,38655
Fond du Lac,WI,"Fond du Lac, WI",48126,50135
Fort Collins,CO,"Fort Collins, CO",54188,57442
Fort Smith,AR-OK,"Fort Smith, AR-OK",37800,38899
Fort Wayne,IN,"Fort Wayne, IN",46141,47760
Fresno,CA,"Fresno, CA",43084,44536
Gadsden,AL,"Gadsden, AL",36918,38031
Gainesville,FL,"Gainesville, FL",42663,44545
Gainesville,GA,"Gainesville, GA",43701,45709
Gettysburg,PA,"Gettysburg, PA",49173,51208
Glens Falls,NY,"Glens Falls, NY",46411,48452
Goldsboro,NC,"Goldsboro, NC",38472,39991
Grand Forks,ND-MN,"Grand Forks, ND-MN",50670,52526
Grand Island,NE,"Grand Island, NE",43817,45390
Grand Junction,CO,"Grand Junction, CO",44935,47729
Grand Rapids-Kentwood,MI,"Grand Rapids-Kentwood, MI",50463,52313
Grants Pass,OR,"Grants Pass, OR",40977,42679
Great Falls,MT,"Great Falls, MT",47518,49408
Greeley,CO,"Greeley, CO",46172,47503
Green Bay,WI,"Green Bay, WI",51553,53691
Greensboro-High Point,NC,"Greensboro-High Point, NC",43189,44613
Greenville,NC,"Greenville, NC",41191,42545
Greenville-Anderson,SC,"Greenville-Anderson, SC",44213,45968
Gulfport-Biloxi,MS,"Gulfport-Biloxi, MS",36878,37687
Hagerstown-Martinsburg,MD-WV,"Hagerstown-Martinsburg, MD-WV",43897,45306
Hammond,LA,"Hammond, LA",38974,40170
Hanford-Corcoran,CA,"Hanford-Corcoran, CA",35306,36269
Harrisburg-Carlisle,PA,"Harrisburg-Carlisle, PA",52354,54584
Harrisonburg,VA,"Harrisonburg, VA",39721,41308
Hartford-East Hartford-Middletown,CT,"Hartford-East Hartford-Middletown, CT",64337,66679
Hattiesburg,MS,"Hattiesburg, MS",38648,39982
Hickory-Lenoir-Morganton,NC,"Hickory-Lenoir-Morganton, NC",39849,41613
Hilton Head Island-Bluffton,SC,"Hilton Head Island-Bluffton, SC",53056,55293
Hinesville,GA,"Hinesville, GA",33744,34896
Homosassa Springs,FL,"Homosassa Springs, FL",37920,38997
Hot Springs,AR,"Hot Springs, AR",40004,41470
Houma-Thibodaux,LA,"Houma-Thibodaux, LA",44127,45801
