Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",4.4,213,2020,3,Omaha-Council Bluffs,NE-IA
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",4.4,213,2020,3,Palm Bay-Melbourne-Titusville,FL
"Panama City, FL Metropolitan Statistical Area",4.4,213,2020,3,Panama City,FL
"Rome, GA Metropolitan Statistical Area",4.4,213,2020,3,Rome,GA
"State College, PA Metropolitan Statistical Area",4.4,213,2020,3,State College,PA
"Albany, OR Metropolitan Statistical Area",4.5,227,2020,3,Albany,OR
"Casper, WY Metropolitan Statistical Area",4.5,227,2020,3,Casper,WY
"Goldsboro, NC Metropolitan Statistical Area",4.5,227,2020,3,Goldsboro,NC
"Jackson, MS Metropolitan Statistical Area",4.5,227,2020,3,Jackson,MS
"Lexington-Fayette, KY Metropolitan Statistical Area",4.5,227,2020,3,Lexington-Fayette,KY
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.5,227,2020,3,Louisville/Jefferson County,KY-IN
"Michigan City-La Porte, IN Metropolitan Statistical Area",4.5,227,2020,3,Michigan City-La Porte,IN
"Olympia-Tumwater, WA Metropolitan Statistical Area",4.5,227,2020,3,Olympia-Tumwater,WA
"Saginaw, MI Metropolitan Statistical Area",4.5,227,2020,3,Saginaw,MI
"Santa Fe, NM Metropolitan Statistical Area",4.5,227,2020,3,Santa Fe,NM
"Tyler, TX Metropolitan Statistical Area",4.5,227,2020,3,Tyler,TX
"Valdosta, GA Metropolitan Statistical Area",4.5,227,2020,3,Valdosta,GA
"Waco, TX Metropolitan Statistical Area",4.5,227,2020,3,Waco,TX
"Bellingham, WA Metropolitan Statistical Area",4.6,240,2020,3,Bellingham,WA
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.6,240,2020,3,Cincinnati,OH-KY-IN
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",4.6,240,2020,3,Denver-Aurora-Lakewood,CO
"Greeley, CO Metropolitan Statistical Area",4.6,240,2020,3,Greeley,CO
"Macon-Bibb County, GA Metropolitan Statistical Area",4.6,240,2020,3,Macon-Bibb County,GA
"Medford, OR Metropolitan Statistical Area",4.6,240,2020,3,Medford,OR
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",4.6,240,2020,3,Oxnard-Thousand Oaks-Ventura,CA
"Pittsfield, MA Metropolitan NECTA",4.6,240,2020,3,Pittsfield,MA
"Rockford, IL Metropolitan Statistical Area",4.6,240,2020,3,Rockford,IL
"Bay City, MI Metropolitan Statistical Area",4.7,249,2020,3,Bay City,MI
"Grand Island, NE Metropolitan Statistical Area",4.7,249,2020,3,Grand Island,NE
"Hinesville, GA Metropolitan Statistical Area",4.7,249,2020,3,Hinesville,GA
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.7,249,2020,3,Phoenix-Mesa-Scottsdale,AZ
"Rochester, NY Metropolitan Statistical Area",4.7,249,2020,3,Rochester,NY
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",4.7,249,2020,3,Sacramento--Roseville--Arden-Arcade,CA
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",4.8,255,2020,3,Chicago-Naperville-Elgin,IL-IN-WI
"Clarksville, TN-KY Metropolitan Statistical Area",4.8,255,2020,3,Clarksville,TN-KY
"Columbus, GA-AL Metropolitan Statistical Area",4.8,255,2020,3,Columbus,GA-AL
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",4.8,255,2020,3,Harrisburg-Carlisle,PA
"Hot Springs, AR Metropolitan Statistical Area",4.8,255,2020,3,Hot Springs,AR
"Dayton, OH Metropolitan Statistical Area",4.9,260,2020,3,Dayton,OH
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",4.9,260,2020,3,Deltona-Daytona Beach-Ormond Beach,FL
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",4.9,260,2020,3,Detroit-Warren-Dearborn,MI
"Duluth, MN-WI Metropolitan Statistical Area",4.9,260,2020,3,Duluth,MN-WI
"Elmira, NY Metropolitan Statistical Area",4.9,260,2020,3,Elmira,NY
"Jacksonville, NC Metropolitan Statistical Area",4.9,260,2020,3,Jacksonville,NC
"Killeen-Temple, TX Metropolitan Statistical Area",4.9,260,2020,3,Killeen-Temple,TX
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",4.9,260,2020,3,Lakeland-Winter Haven,FL
"Port St. Lucie, FL Metropolitan Statistical Area",4.9,260,2020,3,Port St. Lucie,FL
"Providence-Warwick, RI-MA Metropolitan NECTA",4.9,260,2020,3,Providence-Warwick,RI-MA
"Punta Gorda, FL Metropolitan Statistical Area",4.9,260,2020,3,Punta Gorda,FL
"Syracuse, NY Metropolitan Statistical Area",4.9,260,2020,3,Syracuse,NY
"El Paso, TX Metropolitan Statistical Area",5.0,272,2020,3,El Paso,TX
"Fairbanks, AK Metropolitan Statistical Area",5.0,272,2020,3,Fairbanks,AK
"Vallejo-Fairfield, CA Metropolitan Statistical Area",5.0,272,2020,3,Vallejo-Fairfield,CA
"Waterbury, CT Metropolitan NECTA",5.0,272,2020,3,Waterbury,CT
"York-Hanover, PA Metropolitan Statistical Area",5.0,272,2020,3,York-Hanover,PA
"Dalton, GA Metropolitan Statistical Area",5.1,277,2020,3,Dalton,GA
"Grants Pass, OR Metropolitan Statistical Area",5.1,277,2020,3,Grants Pass,OR
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",5.1,277,2020,3,Gulfport-Biloxi-Pascagoula,MS
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",5.1,277,2020,3,Houston-The Woodlands-Sugar Land,TX
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",5.1,277,2020,3,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD
