City/Area,State,Metropolitan area,Unified City,Unified State
Lebanon,PA,"Lebanon, PA Metropolitan Statistical Area",Lebanon,PA
Reading,PA,"Reading, PA Metropolitan Statistical Area",Reading,PA
Altoona,PA,"Altoona, PA Metropolitan Statistical Area",Altoona,PA
Pittsburgh,PA,"Pittsburgh, PA Metropolitan Statistical Area",Pittsburgh,PA
Erie,PA,"Erie, PA Metropolitan Statistical Area",Erie,PA
East Stroudsburg,PA,"East Stroudsburg, PA Metropolitan Statistical Area",East Stroudsburg,PA
Williamsport,PA,"Williamsport, PA Metropolitan Statistical Area",Williamsport,PA
Johnstown,PA,"Johnstown, PA Metropolitan Statistical Area",Johnstown,PA
Providence-Warwick,RI-MA,"Providence-Warwick, RI-MA Metropolitan NECTA",Providence,RI
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",Myrtle Beach,SC
Charleston-North Charleston,SC,"Charleston-North Charleston, SC Metropolitan Statistical Area",Charleston,SC
Columbia,SC,"Columbia, SC Metropolitan Statistical Area",Columbia,SC
Greenville-Anderson-Mauldin,SC,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",Greenville,SC
Hilton Head Island-Bluffton-Beaufort,SC,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",Hilton Head Island,SC
Spartanburg,SC,"Spartanburg, SC Metropolitan Statistical Area",Spartanburg,SC
Florence,SC,"Florence, SC Metropolitan Statistical Area",Florence,SC
Sumter,SC,"Sumter, SC Metropolitan Statistical Area",Sumter,SC
Sioux Falls,SD,"Sioux Falls, SD Metropolitan Statistical Area",Sioux Falls,SD
Rapid City,SD,"Rapid City, SD Metropolitan Statistical Area",Rapid City,SD
Kingsport-Bristol-Bristol,TN-VA,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",Kingsport,TN
Chattanooga,TN-GA,"Chattanooga, TN-GA Metropolitan Statistical Area",Chattanooga,TN
Memphis,TN-MS-AR,"Memphis, TN-MS-AR Metropolitan Statistical Area",Memphis,TN
Clarksville,TN-KY,"Clarksville, TN-KY Metropolitan Statistical Area",Clarksville,TN
Nashville-Davidson--Murfreesboro--Franklin,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",Nashville,TN
Knoxville,TN,"Knoxville, TN Metropolitan Statistical Area",Knoxville,TN
Jackson,TN,"Jackson, TN Metropolitan Statistical Area",Jackson,TN
Cleveland,TN,"Cleveland, TN Metropolitan Statistical Area",Cleveland,TN
Johnson City,TN,"Johnson City, TN Metropolitan Statistical Area",Johnson City,TN
Morristown,TN,"Morristown, TN Metropolitan Statistical Area",Morristown,TN
Texarkana,TX-AR,"Texarkana, TX-AR Metropolitan Statistical Area",Texarkana,TX
Austin-Round Rock,TX,"Austin-Round Rock, TX Metropolitan Statistical Area",Austin,TX
Beaumont-Port Arthur,TX,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",Beaumont,TX
Brownsville-Harlingen,TX,"Brownsville-Harlingen, TX Metropolitan Statistical Area",Brownsville,TX
College Station-Bryan,TX,"College Station-Bryan, TX Metropolitan Statistical Area",College Station,TX
Dallas-Fort Worth-Arlington,TX,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",Dallas,TX
Houston-The Woodlands-Sugar Land,TX,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",Houston,TX
Killeen-Temple,TX,"Killeen-Temple, TX Metropolitan Statistical Area",Killeen,TX
McAllen-Edinburg-Mission,TX,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",McAllen,TX
San Antonio-New Braunfels,TX,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",San Antonio,TX
Sherman-Denison,TX,"Sherman-Denison, TX Metropolitan Statistical Area",Sherman,TX
Midland,TX,"Midland, TX Metropolitan Statistical Area",Midland,TX
Amarillo,TX,"Amarillo, TX Metropolitan Statistical Area",Amarillo,TX
Lubbock,TX,"Lubbock, TX Metropolitan Statistical Area",Lubbock,TX
Abilene,TX,"Abilene, TX Metropolitan Statistical Area",Abilene,TX
San Angelo,TX,"San Angelo, TX Metropolitan Statistical Area",San Angelo,TX
Wichita Falls,TX,"Wichita Falls, TX Metropolitan Statistical Area",Wichita Falls,TX
Odessa,TX,"Odessa, TX Metropolitan Statistical Area",Odessa,TX
Tyler,TX,"Tyler, TX Metropolitan Statistical Area",Tyler,TX
Waco,TX,"Waco, TX Metropolitan Statistical Area",Waco,TX
El Paso,TX,"El Paso, TX Metropolitan Statistical Area",El Paso,TX
Victoria,TX,"Victoria, TX Metropolitan Statistical Area",Victoria,TX
Laredo,TX,"Laredo, TX Metropolitan Statistical Area",Laredo,TX
Longview,TX,"Longview, TX Metropolitan Statistical Area",Longview,TX
Corpus Christi,TX,"Corpus Christi, TX Metropolitan Statistical Area",Corpus Christi,TX
Logan,UT-ID,"Logan, UT-ID Metropolitan Statistical Area",Logan,UT
Ogden-Clearfield,UT,"Ogden-Clearfield, UT Metropolitan Statistical Area",Ogden,UT
Provo-Orem,UT,"Provo-Orem, UT Metropolitan Statistical Area",Provo,UT
Salt Lake City,UT,"Salt Lake City, UT Metropolitan Statistical Area",Salt Lake City,UT
St. George,UT,"St. George, UT Metropolitan Statistical Area",St. George,UT
Virginia Beach-Norfolk-Newport News,VA-NC,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",Virginia Beach,VA
Winchester,VA-WV,"Winchester, VA-WV Metropolitan Statistical Area",Winchester,VA
Blacksburg-Christiansburg-Radford,VA,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",Blacksburg,VA
Staunton-Waynesboro,VA,"Staunton-Waynesboro, VA Metropolitan Statistical Area",Staunton,VA
Charlottesville,VA,"Charlottesville, VA Metropolitan Statistical Area",Charlottesville,VA
Harrisonburg,VA,"Harrisonburg, VA Metropolitan Statistical Area",Harrisonburg,VA
Richmond,VA,"Richmond, VA Metropolitan Statistical Area",Richmond,VA
Roanoke,VA,"Roanoke, VA Metropolitan Statistical Area",Roanoke,VA
Lynchburg,VA,"Lynchburg, VA Metropolitan Statistical Area",Lynchburg,VA
Burlington-South Burlington,VT,"Burlington-South Burlington, VT Metropolitan NECTA",Burlington,VT
Bremerton-Silverdale,WA,"Bremerton-Silverdale, WA Metropolitan Statistical Area",Bremerton,WA
Kennewick-Richland,WA,"Kennewick-Richland, WA Metropolitan Statistical Area",Kennewick,WA
Mount Vernon-Anacortes,WA,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",Mount Vernon,WA
Olympia-Tumwater,WA,"Olympia-Tumwater, WA Metropolitan Statistical Area",Olympia,WA
Seattle-Tacoma-Bellevue,WA,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",Seattle,WA
Spokane-Spokane Valley,WA,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",Spokane,WA
Walla Walla,WA,"Walla Walla, WA Metropolitan Statistical Area",Walla Walla,WA
Bellingham,WA,"Bellingham, WA Metropolitan Statistical Area",Bellingham,WA
Wenatchee,WA,"Wenatchee, WA Metropolitan Statistical Area",Wenatchee,WA
Longview,WA,"Longview, WA Metropolitan Statistical Area",Longview,WA
Yakima,WA,"Yakima, WA Metropolitan Statistical Area",Yakima,WA
La Crosse-Onalaska,WI-MN,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",La Crosse,WI
Janesville-Beloit,WI,"Janesville-Beloit, WI Metropolitan Statistical Area",Janesville,WI
Milwaukee-Waukesha-West Allis,WI,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",Milwaukee,WI
Oshkosh-Neenah,WI,"Oshkosh-Neenah, WI Metropolitan Statistical Area",Oshkosh,WI
Madison,WI,"Madison, WI Metropolitan Statistical Area",Madison,WI
Appleton,WI,"Appleton, WI Metropolitan Statistical Area",Appleton,WI
Sheboygan,WI,"Sheboygan, WI Metropolitan Statistical Area",Sheboygan,WI
Wausau,WI,"Wausau, WI Metropolitan Statistical Area",Wausau,WI
Fond du Lac,WI,"Fond du Lac, WI Metropolitan Statistical Area",Fond du Lac,WI
Green Bay,WI,"Green Bay, WI Metropolitan Statistical Area",Green Bay,WI
Eau Claire,WI,"Eau Claire, WI Metropolitan Statistical Area",Eau Claire,WI
Racine,WI,"Racine, WI Metropolitan Statistical Area",Racine,WI
Huntington-Ashland,WV-KY-OH,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",Huntington,WV
Weirton-Steubenville,WV-OH,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",Weirton,WV
Wheeling,WV-OH,"Wheeling, WV-OH Metropolitan Statistical Area",Wheeling,WV
Parkersburg-Vienna,WV,"Parkersburg-Vienna, WV Metropolitan Statistical Area",Parkersburg,WV
Morgantown,WV,"Morgantown, WV Metropolitan Statistical Area",Morgantown,WV
Charleston,WV,"Charleston, WV Metropolitan Statistical Area",Charleston,WV
Beckley,WV,"Beckley, WV Metropolitan Statistical Area",Beckley,WV
Cheyenne,WY,"Cheyenne, WY Metropolitan Statistical Area",Cheyenne,WY
Casper,WY,"Casper, WY Metropolitan Statistical Area",Casper,WY
